start,end,Pit Latrine Location,_Pit Latrine Location_latitude,_Pit Latrine Location_longitude,_Pit Latrine Location_altitude,_Pit Latrine Location_precision,Point and shoot! Use the camera to take a photo of the pit latrine,What is the type of soil around the latrine?,What is the general slope of the area?,What is the current condition of the latrine?,What is the current condition of the latrine?/Intact,What is the current condition of the latrine?/Partly Damaged,What is the current condition of the latrine?/Completely,What is the Primary Cause of damage?,What is the water level inside the latrine?,How close is the latrine to the nearest water source?,Approximately how many people use the latrine?,Are there any visible signs of sewage spillage or contamination risks to nearby?,Are there alternative sanitation facilities?,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-05-21T12:05:23.296+03:00,2024-05-21T12:10:30.326+03:00,-0.3379706 36.930618 1889.2 4.514,-0.3379706,36.930618,1889.2,4.514,1716282563767.jpg,Cotton,Gental,Intact,1,0,0,other,Dry,50 - 100 m,6,No,No,341323852,3a67843b-5728-443e-90f1-0d76a6ef8f9f,2024-05-21T16:00:36,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,11
2024-05-21T12:10:38.981+03:00,2024-05-21T12:16:35.914+03:00,-0.336325 36.9303883 1923.1 4.447,-0.336325,36.9303883,1923.1,4.447,1716282941768.jpg,Cotton,Gental,Intact,1,0,0,Ground Erosion,Partially Filled with Water,>100 m,3,No,No,341323870,0b25bbb6-bce5-4f6e-a168-f50c137731f1,2024-05-21T16:00:39,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,12
2024-05-21T12:18:28.288+03:00,2024-05-21T12:26:33.853+03:00,-0.3366722 36.927273 1930.6 4.442,-0.3366722,36.927273,1930.6,4.442,1716283487730.jpg,Loam,Gental,Intact,1,0,0,Ground Erosion,Partially Filled with Water,>100 m,3,No,No,341323886,f25bd4ba-8c1a-438e-82c0-2761deb9a9c5,2024-05-21T16:00:41,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,13
2024-05-21T12:29:55.458+03:00,2024-05-21T12:33:27.037+03:00,-0.3364141 36.9271219 1921.0 4.9,-0.3364141,36.9271219,1921.0,4.9,1716283941355.jpg,Cotton,Gental,Completely,0,0,1,Ground Erosion,Fully submerged,>100 m,10,No,No,341323898,7635f9b2-8ef1-4aac-a7de-c1ce9ed5b96a,2024-05-21T16:00:44,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,14
2024-05-21T12:37:29.077+03:00,2024-05-21T12:39:55.306+03:00,-0.3372737 36.9266895 1924.8 3.785,-0.3372737,36.9266895,1924.8,3.785,1716284278728.jpg,Cotton,Flat,Partly Damaged,0,1,0,Flooding,Partially Filled with Water,>100 m,2,No,No,341323925,3c07574d-8b6b-444c-8f93-1fefa279b190,2024-05-21T16:00:48,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,15
2024-05-21T12:46:06.855+03:00,2024-05-21T12:47:02.982+03:00,-0.3394258 36.9297417 1907.3 3.6,-0.3394258,36.9297417,1907.3,3.6,1716284793497.jpg,Cotton,Gental,Completely,0,0,1,Ground Erosion,Partially Filled with Water,>100 m,7,No,No,341323942,433ea02d-e21c-4bfc-a33e-cf9282c85bf4,2024-05-21T16:00:51,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,16
2024-05-21T12:54:06.688+03:00,2024-05-21T12:56:02.844+03:00,-0.3347 36.9276294 1932.0 4.066,-0.3347,36.9276294,1932.0,4.066,1716285270694.jpg,Cotton,Gental,Completely,0,0,1,Ground Erosion,Partially Filled with Water,>100 m,5,No,No,341323961,8878b330-f9b8-486b-ac40-7d9c6592756c,2024-05-21T16:00:53,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,17
2024-05-24T10:23:32.544+03:00,2024-05-24T10:30:04.783+03:00,-0.3716233 36.9305543 1848.9000244140625 4.4,-0.3716233,36.9305543,1848.9000244140625,4.4,1716535764846.jpg,Cotton,Gental,Partly Damaged,0,1,0,Flooding,Fully submerged,>100 m,10,No,No,342534477,0783d7d9-5782-4a73-a824-4cff9ae5171c,2024-05-25T04:01:20,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,18
2024-05-24T11:00:33.513+03:00,2024-05-24T11:02:05.068+03:00,-0.3566072 36.9266092 1889.5 4.883,-0.3566072,36.9266092,1889.5,4.883,1716537687002.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,6,No,No,342534504,2d0558ad-f951-49e5-9fd0-027c48aa6d3f,2024-05-25T04:01:37,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,19
2024-05-24T11:05:27.657+03:00,2024-05-24T11:08:22.867+03:00,-0.3561541 36.9277794 1874.8999999999999 4.733,-0.3561541,36.9277794,1874.8999999999999,4.733,1716538020306.jpg,Cotton,Flat,Completely,0,0,1,Ground Erosion,Partially Filled with Water,>100 m,4,No,No,342534532,1ea71ef2-eaf3-4a42-835e-b0a7cc57c1d1,2024-05-25T04:01:53,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,20
2024-05-24T11:15:16.679+03:00,2024-05-24T11:22:41.277+03:00,-0.357352 36.9289982 1868.8999999999999 4.028,-0.357352,36.9289982,1868.8999999999999,4.028,1716538835793.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,6,Yes,No,342534550,967fb59b-0e3f-4028-b705-49b531c5f18c,2024-05-25T04:02:08,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,21
2024-05-24T11:38:55.726+03:00,2024-05-24T11:39:55.347+03:00,-0.3591515 36.9313223 1879.1 4.98,-0.3591515,36.9313223,1879.1,4.98,1716539959547.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,5,No,No,342534971,caf4328a-8e67-4b40-92a4-6ea5ee45a4a6,2024-05-25T04:05:52,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,22
2024-05-24T11:42:08.985+03:00,2024-05-24T11:47:35.442+03:00,-0.359009 36.9307709 1879.0 4.718,-0.359009,36.9307709,1879.0,4.718,,Cotton ,Flat,Intact,1,0,0,Flooding,Partially Filled with Water,>100 m,2,No,No,342534974,16362901-67b2-4a35-b0ba-52c1c44a1e2c,2024-05-25T04:05:53,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,23
2024-05-24T11:50:55.154+03:00,2024-05-24T12:00:06.543+03:00,-0.3583394 36.9307537 1873.3 5.0,-0.3583394,36.9307537,1873.3,5.0,1716541155522.jpg,Cotton,Flat,Partly Damaged,0,1,0,Flooding,Partially Filled with Water,>100 m,3,No,No,342534998,ee571e85-fafb-4a51-a110-d8373c421b85,2024-05-25T04:06:10,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,24
2024-05-24T12:31:52.220+03:00,2024-05-24T12:35:57.650+03:00,-0.3582283 36.92984 1891.8999999999999 3.9,-0.3582283,36.92984,1891.8999999999999,3.9,1716543229114.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,3,Yes,No,342535025,965d380e-8f9f-4d18-953a-65b023c48a11,2024-05-25T04:06:26,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,25
2024-05-31T12:15:39.043+03:00,2024-05-31T12:20:07.781+03:00,-0.3324433 36.9243833 1916.0 3.9,-0.3324433,36.9243833,1916.0,3.9,1717147159981.jpg,Cotton,Flat,Partly Damaged,0,1,0,Flooding,Fully submerged,>100 m,6,Yes,No,344620435,09a0195e-e741-4c7b-b511-d4388acf2bc6,2024-05-31T10:40:35,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,26
2024-05-31T12:20:59.877+03:00,2024-05-31T12:22:02.284+03:00,-0.3324583 36.924295 1910.7 4.8,-0.3324583,36.924295,1910.7,4.8,1717147281877.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,3,No,No,344620468,59754fdb-61b1-48f0-8dce-a9008d149e4b,2024-05-31T10:40:39,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,27
2024-05-31T12:29:44.892+03:00,2024-05-31T12:31:27.167+03:00,-0.3340467 36.92441 1900.3 4.6,-0.3340467,36.92441,1900.3,4.6,1717147846207.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,9,Yes,No,344620524,745d06cd-974a-4317-9e91-8d726a8a3ae2,2024-05-31T10:40:46,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,28
2024-05-31T12:34:07.072+03:00,2024-05-31T12:35:44.592+03:00,-0.3348392 36.9243265 1908.8 4.02,-0.3348392,36.9243265,1908.8,4.02,1717148076733.jpg,Cotton ,Flat,Completely,0,0,1,Ground Erosion,Fully submerged,>100 m,2,No,No,344620572,a1b2ff3f-68a5-4aef-a034-e90b8dd3262d,2024-05-31T10:40:52,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,29
2024-05-31T12:37:01.910+03:00,2024-05-31T12:39:25.456+03:00,-0.3349872 36.9237564 1909.1 3.9,-0.3349872,36.9237564,1909.1,3.9,1717148321727.jpg,Cotton,Flat,Completely,0,0,1,Ground Erosion,Fully submerged,>100 m,10,Yes,No,344620608,b3a9c27b-36c5-4b42-ab16-d61040ede993,2024-05-31T10:40:57,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,30
2024-05-31T12:43:33.549+03:00,2024-05-31T12:47:12.572+03:00,-0.3357681 36.9239366 1926.7 4.8,-0.3357681,36.9239366,1926.7,4.8,1717148686223.jpg,Cotton,Flat,Completely,0,0,1,Flooding,Fully submerged,>100 m,2,Yes,No,344620655,d8bbc80a-7000-4c3e-a6fc-d8d78517ec47,2024-05-31T10:41:02,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,31
2024-05-31T12:48:55.049+03:00,2024-05-31T12:57:50.861+03:00,-0.336536 36.9225076 1900.7 3.9,-0.336536,36.9225076,1900.7,3.9,1717149401226.jpg,Cotton,Gental,Partly Damaged Intact,1,1,0,Ground Erosion,Partially Filled with Water,>100 m,3,No,No,344620696,113da4ad-3082-4faf-a9b9-bb7daeb7f070,2024-05-31T10:41:08,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,32
2024-05-31T13:02:22.518+03:00,2024-05-31T13:03:27.775+03:00,-0.3360992 36.9217634 1905.8999999999999 4.18,-0.3360992,36.9217634,1905.8999999999999,4.18,1717149774382.jpg,Cotton,Gental,Partly Damaged,0,1,0,Ground Erosion,Fully submerged,>100 m,4,No,No,344620725,34446e13-b3df-42e3-9a66-518a03c7b926,2024-05-31T10:41:12,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,33
2024-05-31T13:03:38.098+03:00,2024-05-31T13:09:30.258+03:00,-0.3334686 36.925238 1908.2 4.75,-0.3334686,36.925238,1908.2,4.75,1717150137980.jpg,Cotton,Gental,Partly Damaged,0,1,0,Ground Erosion,Partially Filled with Water,>100 m,10,No,No,344620758,88d62f7b-e332-4c30-ab71-cb8401f0bd18,2024-05-31T10:41:17,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,34
2024-05-31T13:19:02.434+03:00,2024-05-31T13:20:33.439+03:00,-0.334851 36.9277592 1927.3999999999999 4.16,-0.334851,36.9277592,1927.3999999999999,4.16,1717150762231.jpg,Cotton,Gental,Partly Damaged,0,1,0,Ground Erosion,Partially Filled with Water,>100 m,4,No,No,344620781,0abf0d97-1715-455b-b8d7-b49ecde6eb94,2024-05-31T10:41:20,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,35
2024-05-31T13:20:49.138+03:00,2024-05-31T13:22:20.977+03:00,-0.33458 36.9279083 1934.2 4.2,-0.33458,36.9279083,1934.2,4.2,1717150896844.jpg,Cotton,Gental,Completely,0,0,1,Ground Erosion,Fully submerged,>100 m,6,Yes,No,344620816,514a42e3-b911-4a87-8007-8006f504a10a,2024-05-31T10:41:24,,,submitted_via_web,devmartin10,vt4J39CVFyCQeKwyC8vH2C,,36
